,Spotify Name,searched_artist_name
0,Vulfpeck,Vulfpeck
1,Negative FX & Last Rights,Negative FX
2,Phyllis Hyman,Phyllis Hyman
3,Marcus Roberts,Marcus Roberts
4,The Locust,The Locust
5,Dinosaur Eyelids,Dinosaur Eyelids
6,Mac Wiseman,Mac Wiseman
7,The Sensational Alex Harvey Band,The Sensational Alex Harvey Band
8,Horse Thief,Horse Thief
9,Bon Jovi,Bon Jovi
10,Obray Ramsey,Obray Ramsey
11,The Flaming Lips,The Flaming Lips
12,Dayna Stephens,Dayna Stephens
13,Gustav Mahler,Gustav Mahler
14,Vertical Horizon,Vertical Horizon
15,Four Tet,Four Tet
16,Faith Hill,Faith Hill
17,Jellyfish,Jellyfish
18,Giorgio Moroder,Giorgio Moroder
19,Roberta Gambarini,Roberta Gambarini
20,Koffee Brown,Koffee Brown
21,Big Jack Johnson & The Oilers,Big Jack Johnson
22,Gin Blossoms,Gin Blossoms
23,Jazz Gillum,Jazz Gillum
24,Christina Aguilera,Christina Aguilera
25,Witchcraft,Witchcraft
26,Pro-Pain,Pro-Pain
27,Unsane,Unsane
28,Adam Arcuragi,Adam Arcuragi
29,Supersystem,Supersystem
30,Os Mutantes,Os Mutantes
31,Gwen Bunn,Gwen Bunn
32,Sam Rivers,Sam Rivers
33,Motion City Soundtrack,Motion City Soundtrack
34,Rick Derringer,Rick Derringer
35,Roy Eldridge,Roy Eldridge
36,The Wombats,The Wombats
37,Tenpole Tudor,Tenpole Tudor
38,Sonny Landreth,Sonny Landreth
39,Dierks Bentley,Dierks Bentley
40,Les Paul & Mary Ford,Les Paul
41,P'taah,P'taah
42,Cher Lloyd,Cher Lloyd
43,Mark Helias,Mark Helias
44,Johnny Lange,Johnny Lange
45,Cass McCombs,Cass McCombs
46,Hank Marvin,Hank Marvin
47,Extreme,Extreme
48,Minibar,Minibar
49,Pretty Ricky,Pretty Ricky
50,Brian Jackson,Brian Jackson
51,Tommy Flanagan,Tommy Flanagan
52,Asleep At The Wheel,Asleep At The Wheel
53,Tad Robinson,Tad Robinson
54,Birdy,Birdy
55,Michael Burks,Michael Burks
56,White Eskimo,White Eskimo
57,Jessie Ware,Jessie Ware
58,Junior Wells,Junior Wells
59,Gene Gifford,Gene Gifford
60,Far East Movement,Far East Movement
61,The Movielife,The Movielife
62,Max Romeo & Lee Perry,Max Romeo
63,AJJ,AJJ
64,Ekoostik Hookah,Ekoostik Hookah
65,Scritti Politti,Scritti Politti
66,Paul Gonsalves,Paul Gonsalves
67,Leon Redbone,Leon Redbone
68,Green Apple Quick Step,Green Apple Quick Step
69,Big Daddy Kane,Big Daddy Kane
70,The Mission,The Mission
71,Freddie Keppard,Freddie Keppard
72,Justice,Justice
73,The Nomads,The Nomads
74,PJ Harvey,PJ Harvey
75,The Soup Dragons,The Soup Dragons
76,Debbie Davies,Debbie Davies
77,Barry Adamson,Barry Adamson
78,Upsilon Acrux,Upsilon Acrux
79,Busy Bee,Busy Bee
80,Kay Thompson,Kay Thompson
81,The Derailers,The Derailers
82,Faron Young,Faron Young
83,The Skyliners,The Skyliners
84,Jerry Gonzalez,Jerry Gonzalez
85,Wilson Phillips,Wilson Phillips
86,Joy Oladokun,Joy Oladokun
87,Gary Wilson,Gary Wilson
88,Chris Knight,Chris Knight
89,Common,Common
90,Stereolab,Stereolab
91,She Is We,She Is We
92,Jimmy Blanton,Jimmy Blanton
93,Clipse,Clipse
94,Petra Haden,Petra Haden
95,The Independents,The Independents
96,Cyrus Chestnut,Cyrus Chestnut
97,Billy Corgan,Billy Corgan
98,Grandmaster Flash & The Furious Five,Grandmaster Flash
99,Talas,Talas
100,Mahavishnu Orchestra,Mahavishnu Orchestra
101,Mae Boren Axton,Mae Boren Axton
102,Monie Love,Monie Love
103,Ty Dolla $ign,Ty Dolla $ign
104,Autistic Youth,Autistic Youth
105,Eivind Aarset,Eivind Aarset
106,Eddie Lang,Eddie Lang
107,Joe & Antoinette McKenna,Joe Cocker
108,Angela Bofill,Angela Bofill
109,João Gilberto,João Gilberto
110,Negative Approach,Negative Approach
111,Luke Bryan,Luke Bryan
112,Horace Tapscott,Horace Tapscott
113,Arabian Prince,Arabian Prince
114,John King,John King
115,Josylvio,Josylvio
116,Eros and the Eschaton,Eros and the Eschaton
117,Jack Maheu,Jack Maheu
118,Franz Waxman,Franz Waxman
119,David Bowie & The Spiders From Mars,David Bowie
120,Loverboy,Loverboy
121,Cilla Black,Cilla Black
122,Jarrod Lawson,Jarrod Lawson
123,Audio Two,Audio Two
124,Swamp Dogg,Swamp Dogg
125,Blood Ceremony,Blood Ceremony
126,Swirlies,Swirlies
127,Eddie Floyd,Eddie Floyd
128,C-Bo,C-Bo
129,King Creosote,King Creosote
130,Beach Slang,Beach Slang
131,Tim McGraw,Tim McGraw
132,Tweet,Tweet
133,Chromatics,Chromatics
134,John Primer,John Primer
135,Billy Lee Riley,Billy Lee Riley
136,Komando Negro,Komando Negro
137,Crass,Crass
138,Solange,Solange
139,Childish Major,Childish Major
140,Jon Langford,Jon Langford
141,The Left Banke,The Left Banke
142,Chris Garneau,Chris Garneau
143,Bow Wow Wow,Bow Wow Wow
144,burger/ink,burger/ink
145,Bunny Berigan,Bunny Berigan
146,Randy Weston,Randy Weston
147,The 69 Cats,The 69 Cats
148,RKL,RKL
149,World Class Wreckin' Cru,World Class Wreckin' Cru
150,Sergio Mendes & Brasil '77,Sérgio Mendes
151,Dirty Vegas,Dirty Vegas
152,McCoy Tyner,McCoy Tyner
153,Kieran Hebden,Kieran Hebden
154,System 7,System 7
155,Johnny Copeland,Johnny Copeland
156,Clem Snide,Clem Snide
157,"Luther ""Guitar Junior"" Johnson","Luther ""Guitar Junior"" Johnson"
158,Evelyn Thomas,Evelyn Thomas
159,The Last Poets,The Last Poets
160,The Lemonheads,The Lemonheads
161,Heavy Trash,Heavy Trash
162,The Harper Brothers,The Harper Brothers
163,Maddy Prior & Tim Hart,Maddy Prior
164,Joe Turner,Josh Turner
165,Collective Soul,Collective Soul
166,The Shazam,The Shazam
167,People Get Ready,People Get Ready
168,David Johansen,David Johansen
169,Coffin Carousel,Coffin Carousel
170,Slim Whitman,Slim Whitman
171,Joy Of Cooking,Joy Of Cooking
172,Los Reyes Del Camino,Los Reyes Del Camino
173,Kim Richey,Kim Richey
174,The Monkees,The Monkees
175,The Connection,The Connection
176,Jabbo Smith,Jabbo Smith
177,The Lemon Twigs,The Lemon Twigs
178,Vertical Horizon,Vertical Horizon
179,Devil in a Woodpile,Devil in a Woodpile
180,Lal Waterson,Lal Waterson
181,Moniquea,Moniquea
182,Matt Wilson,Matt Wilson
183,Kimbra,Kimbra
184,Terry Gibbs,Terry Gibbs
185,Liberace,Liberace
186,The Beau Brummels,The Beau Brummels
187,Charlotte Gainsbourg,Charlotte Gainsbourg
188,Kate & Anna McGarrigle,Kate Bush
189,Celtic Frost,Celtic Frost
190,Florida Georgia Line,Florida Georgia Line
191,Brent Bourgeois,Brent Bourgeois
192,Michael Hoenig,Michael Hoenig
193,Soul Circus Cowboys,Soul Circus Cowboys
194,Colourbox,Colourbox
195,Jonathan Davis,Jonathan Davis
196,Ratt,Ratt
197,Teedra Moses,Teedra Moses
198,The Sadies,The Sadies
199,The Beau Hunks,The Beau Hunks
200,Telex,Telex
201,Jack Teagarden,Jack Teagarden
202,Patti Labelle & The Bluebelles,Patti LaBelle
203,The Jets,The Jets
204,Au/Ra,Au/Ra
205,Professor Longhair,Professor Longhair
206,Ronnie Cuber,Ronnie Cuber
207,Mr. Big,Mr. Big
208,Roy Harper,Roy Harper
209,MC Solaar,MC Solaar
210,The Moldy Peaches,The Moldy Peaches
211,Joel Rafael,Joel Rafael
212,Clear Soul Forces,Clear Soul Forces
213,Take 6,Take 6
214,Billy Squier,Billy Squier
215,Jully Black,Jully Black
216,Johnny Mercer,Johnny Mercer
217,Laura Cantrell,Laura Cantrell
218,Dickey Betts,Dickey Betts
219,Freestyle,Freestyle Fellowship
220,Lazer Crystal,Lazer Crystal
221,Rebecca St. James,Rebecca St. James
222,t.A.T.u.,t.A.T.u.
223,Davy Graham,Davy Graham
224,All Time Low,All Time Low
225,This Mortal Coil,This Mortal Coil
226,Reuben And The Dark,Reuben And The Dark
227,Cecil Bridgewater,Cecil Bridgewater
228,Bob Perry,Bob Perry
229,Jimmy Rushing,Jimmy Rushing
230,Gloria Lynne,Gloria Lynne
231,Dashboard Confessional,Dashboard Confessional
232,Jesca Hoop,Jesca Hoop
233,The Judds,The Judds
234,Fastball,Fastball
235,Dag Nasty,Dag Nasty
236,Tony Iommi,Tony Iommi
237,Maria Mena,Maria Mena
238,Sondre Lerche,Sondre Lerche
239,Olivier Messiaen,Olivier Messiaen
240,William Ryan Key,William Ryan Key
241,Rolling Blackouts Coastal Fever,Rolling Blackouts Coastal Fever
242,Elvis Costello & The Imposters,Elvis Costello
243,Andrea True Connection,Andrea True Connection
244,Ednita Nazario,Ednita Nazario
245,Crash Test Dummies,Crash Test Dummies
246,Strawbs,Strawbs
247,Tim Berne,Tim Berne
248,Miles Davis Quintet,Miles Davis Quintet
249,The Country Gentlemen,The Country Gentlemen
250,Gavin Bryars,Gavin Bryars
251,Jerry Galante,Jerry Galante
252,Bing & Ruth,Bing Crosby
253,Wax Poetic,Wax Poetic
254,Leroy Jones,Leroy Jones
255,Murder Mystery,Murder Mystery
256,Michelle Branch,Michelle Branch
257,Super Birthday,Super Birthday
258,Diane Hubka,Diane Hubka
259,O.A.R.,O.A.R.
260,Kid606,Kid606
261,Amy Rigby,Amy Rigby
262,The Lambrettas,The Lambrettas
263,"Sam ""The Man"" Taylor","Sam ""The Man"" Taylor"
264,Sam Reider,Sam Reider
265,Pato Banton,Pato Banton
266,The Iveys,The Iveys
267,Ashley Cleveland,Ashley Cleveland
268,The Del Fuegos,The Del Fuegos
269,Sleepy John Estes,Sleepy John Estes
270,Mudhoney,Mudhoney
271,Madness,Madness
272,Ike Quebec,Ike Quebec
273,Modern English,Modern English
274,Lou Christie,Lou Christie
275,Larry Goldings,Larry Goldings
276,Sunny Day Real Estate,Sunny Day Real Estate
277,Weezer,Weezer
278,Christine Lavin,Christine Lavin
279,Spineshank,Spineshank
280,Mica Paris,Mica Paris
281,Harvey Milk,Harvey Milk
282,Call And Response,Call And Response
283,Eubie Blake,Eubie Blake
284,Phil Upchurch,Phil Upchurch
285,Mark Lanegan,Mark Lanegan
286,Dirty Ghosts,Dirty Ghosts
287,Johnny Maestro,Johnny Maestro
288,Icecream Hands,Icecream Hands
289,Holly Macve,Holly Macve
290,Cake Like,Cake Like
291,Nana Mouskouri,Nana Mouskouri
292,Manowar,Manowar
293,Charles Brackeen,Charles Brackeen
294,Lord Kitchener,Lord Kitchener
295,LA Priest,LA Priest
296,Serge Gainsbourg,Serge Gainsbourg
297,Nickelback,Nickelback
298,Poster Children,Poster Children
299,Jules And The Polar Bears,Jules And The Polar Bears
300,Shirley Ellis,Shirley Ellis
301,Dick Wellstood,Dick Wellstood
302,Steve Wynn & The Miracle 3,Steve Wynn
303,Grape Soda,Grape Soda
304,Buddy Knox,Buddy Knox
305,The For Carnation,The For Carnation
306,Pauline Oliveros,Pauline Oliveros
307,Mia Doi Todd,Mia Doi Todd
308,John Moore,John Moore
309,Trey Anastasio,Trey Anastasio
310,Blaqk Audio,Blaqk Audio
311,IAMX,IAMX
312,Chuck Berry,Chuck Berry
313,Boyracer,Boyracer
314,The Buck Pets,The Buck Pets
315,Lorene Drive,Lorene Drive
316,New York Art Quartet,New York Art Quartet
317,Eddie Holland,Eddie Holland
318,Alastair Galbraith,Alastair Galbraith
319,Earl Bostic,Earl Bostic
320,The Knack,The Knack
321,Clutch,Clutch
322,Will Downing,Will Downing
323,Jack's Mannequin,Jack's Mannequin
324,Joseph Angel,Joseph Angel
325,fun.,fun.
326,Buck Owens,Buck Owens
327,Marshall Crenshaw,Marshall Crenshaw
328,Bettie Serveert,Bettie Serveert
329,ZZ Top,ZZ Top
330,The Soviettes,The Soviettes
331,Boston Bun,Boston Bun
332,Micah P. Hinson,Micah P. Hinson
333,Billy Talent,Billy Talent
334,Lester Bowie,Lester Bowie
335,Enrico Rava,Enrico Rava
336,Rival Consoles,Rival Consoles
337,The Fire Theft,The Fire Theft
338,Elton Britt,Elton Britt
339,Donavon Frankenreiter,Donavon Frankenreiter
340,Lafayette Gilchrist,Lafayette Gilchrist
341,Johnny Gill,Johnny Gill
342,The Rentals,The Rentals
343,Wild Bill Moore,Wild Bill Moore
344,Bachman-Turner Overdrive,Bachman-Turner Overdrive
345,World's End Press,World's End Press
346,Liliput,Liliput
347,Paul Kelly & The Messengers,Paul Kelly
348,Delta 5,Delta 5
349,Method Man,Method Man
350,Ludwig van Beethoven,Ludwig van Beethoven
351,Gerry Rafferty,Gerry Rafferty
352,AlunaGeorge,AlunaGeorge
353,Edwin Hawkins,The Edwin Hawkins Singers
354,The Shaggs,The Shaggs
355,Danzig,Danzig
356,Wreckless Eric,Wreckless Eric
357,Concrete Blonde,Concrete Blonde
358,Schlammpeitziger,Schlammpeitziger
359,Virgin Prunes,Virgin Prunes
360,Rhonda Smith,Rhonda Smith
361,The Makes Nice,The Makes Nice
362,Elvin Bishop,Elvin Bishop
363,Gore Gore Girls,Gore Gore Girls
364,Rick Wilhite,Rick Wilhite
365,Califone,Califone
366,Lake Trout,Lake Trout
367,Screeching Weasel,Screeching Weasel
368,Relient K,Relient K
369,Latin Playboys,Latin Playboys
370,Celia Cruz & Johnny Pacheco,Celia Cruz
371,Machine Head,Machine Head
372,Rock Star Club,Rock Star Club
373,The Buckinghams,The Buckinghams
374,Atlantic Starr,Atlantic Starr
375,Carter Burwell,Carter Burwell
376,E.U.,E.U.
377,Bilal,Bilal
378,Static Daydream,Static Daydream
379,Judith Hill,Judith Hill
380,"Steve ""Silk"" Hurley","Steve ""Silk"" Hurley"
381,Thursday,Thursday
382,David Lynch,David Lynch
383,Des'ree,Des'ree
384,The Greyboy Allstars,The Greyboy Allstars
385,Oakley Hall,Oakley Hall
386,Birdman & Lil Wayne,Birdman
387,Ash Ra Tempel,Ash Ra Tempel
388,Jennifer Lopez,Jennifer Lopez
389,Akon,Akon
390,Jakob Dylan,Jakob Dylan
391,Ashley Parker Angel,Ashley Parker Angel
392,Ennio Morricone,Ennio Morricone
393,B Boys,B Boys
394,Frankie Miller,Frankie Miller
395,Beulah,Beulah
396,Young Widows,Young Widows
397,Scott Fisher,Scott Fisher
398,GG Allin,GG Allin
399,Figures On A Beach,Figures On A Beach
400,Joshua Starmer,Joshua Starmer
401,Erick Sermon,Erick Sermon
402,Kevin Shields,Kevin Shields
403,Pentatonix,Pentatonix
404,Little Freddie King,Little Freddie King
405,Laughing Hyenas,Laughing Hyenas
406,Amazing Blondel,Amazing Blondel
407,The Starting Line,The Starting Line
408,Blanck Mass,Blanck Mass
409,Hunters & Collectors,Hunters & Collectors
410,Split Enz,Split Enz
411,We Are Catchers,We Are Catchers
412,Penetration,Penetration
413,Large Professor,Large Professor
414,Big Joe Turner,Big Joe Turner
415,Trixter,Trixter
416,Jerry Garcia Band,Jerry Garcia Band
417,Sufjan Stevens,Sufjan Stevens
418,Red Sun Rising,Red Sun Rising
419,Bill Doggett,Bill Doggett
420,Grand Wizard Theodore,Grand Wizard Theodore
421,Lola Kirke,Lola Kirke
422,The English Beat,The Beat
423,The Caulfields,The Caulfields
424,"George Tandy, Jr.","George Tandy, Jr."
425,Joanne Brackeen,Joanne Brackeen
426,Acoustic Alchemy,Acoustic Alchemy
427,The Sounds,The Sounds
428,Jillian Jacqueline,Jillian Jacqueline
429,Tom McRae,Tom McRae
430,John Wesley Harding,John Wesley Harding
431,Garbage,Garbage
432,Razorcuts,Razorcuts
433,Gavin Friday,Gavin Friday
434,B.B. King,B.B. King
435,VanJess,VanJess
436,Manuel Göttsching,Manuel Göttsching
437,The Showmen,The Showmen
438,Tyler Carter,Tyler Carter
439,Kicking Giant,Kicking Giant
440,Electric Guest,Electric Guest
441,Mr. Bungle,Mr. Bungle
442,The Shangri-Las,The Shangri-Las
443,Will Smith,Will Smith
444,Avion Roe,Avion Roe
445,Orange Juice,Orange Juice
446,Mint Condition,Mint Condition
447,Prick,Prick
448,Windsor For The Derby,Windsor For The Derby
449,Little Matador,Little Matador
450,"Nas & Damian ""Jr. Gong"" Marley",Nas
